"","instituicao","depto","estado","iniciado","completo","tempo","termo","idade","sexo","escolaridade","estadocivil","estadocivil.outros","formacao","ocupacao","ocupacao.outra","nomeservico","tempodeservico","religiao","religiao.outra","contatoanterior","lidadiretamente","lida.onde","lida.outros","motivocurso","motivo.outros","materialdidatico","prazoatividades","interacaopares","organizacaocurso","import.ajud.tutor","autoavaliacao","part.outrocurso","ps001","ps002","ps003","ps004","ps005","ps006","ps007","ps008","ps009","ps010","ps011","ps012","ps013","ps014","ps015","ps016","ps017","ps018","ps019","ps020","ps021","ps022","ps023","ps024","ps025","ps026","ps027","ps028","ps029","ps030","ps031","ps033","ps034","ps035","ps036","ps037","ps038","ps039"
"11","","","Finalizadas","4 junho 2014  17:42","4 junho 2014  17:58","15 minutos 59 segundos","Sim","45","Feminino","Ensino Superior Completo","Casado (a)","nao","superior","Professor (a)","secretaria","secretaria escolar","25","Evangélica","nao","Não","Não","Outros","vizinho","Para aquisição de conhecimento na área",NA,"Adequado 

 ","Flexível","Importante 

 ","Desorganizado","Raramente 

 ","Sim, considero, porém, poderia estar me esforçando mais. 

Sim, considero, porém, poderia estar me esforçando mais 

 ","Sim","2","4","3","3","3","2","3","1","1","2","1","2","1","5","4","1","3","2","5","2","1","2","1","3","3","5","2","4","3","4","2","2","2","2","4","3","2","4"
"12","","","Finalizadas","4 junho 2014  17:43","4 junho 2014  18:17","33 minutos 28 segundos","Sim","44 anos","Feminino","Ensino Superior Completo","Casado (a)","não","Pedagogia","Professor (a)","Não","Professora de Educação infantil Na casa da Criança Santa Terezinha  e  educação especial Na Escola Roberto Prado Leite ( APAE )","15 anos na Rede Estadual e 1 ano Particular","Católica","Não","Sim","Sim","Comunidade","Não","Para aquisição de conhecimento na área","Não","Adequado 

 ","Pouco flexível","Muito importante","Desorganizado","Sempre","Sim, considero","Sim","4","2","2","2","2","4","4","2","2","4","2","2","2","5","2","1","5","1","5","1","1","1","1","1","2","1","1","4","1","2","3","2","5","5","4","1","1","2"
"13","","","Finalizadas","4 junho 2014  17:50","4 junho 2014  18:07","16 minutos 26 segundos","Sim","25","Feminino","Ensino Superior Completo","Solteiro (a)",NA,"Bacharel em Humanidades pela UFVJM, Licencianda em Música pelo UNIS e Licencianda em Letras/Espanhol pela UFVJM","Outros","Policial Militar e estudante","Administração","6","Católica",NA,"Sim","Sim","Serviços de atuação",NA,"Identificação profissional com o tema.",NA,"Adequado 

 ","Pouco flexível","Importante 

 ","Organizado","Sempre","Sim, considero","Não","2","2","2","2","1","1","1","2","2","3","2",NA,"4","4","2","1","2","2","4","1","1","3","2","2","3","2","1","4","4","2","4","4","4","4","3","2","2","2"
"14","E. M. Eva Fernandes Caldeira","","Finalizadas","4 junho 2014  17:51","4 junho 2014  18:00","8 minutos 45 segundos","Sim","33","Masculino","Ensino Superior Completo","Casado (a)",NA,"Superior História","Professor (a)",NA,"Professor (Escola Pública)","5","Católica",NA,"Não","Sim","Escola","Família","Para aquisição de conhecimento na área",NA,"Muito adequado","Pouco flexível","Muito importante","Organizado","Sempre","Sim, considero","Não","2","5","4","1","1","1","1","2","2","4","4","3","2","5","2","2","4","4","4","4","3","2","1","1","2","3","2","4","4","3","4","4","4","4","2","2","2","2"
"15","","","Finalizadas","4 junho 2014  17:52","4 junho 2014  17:59","7 minutos 28 segundos","Sim","39","Masculino","Ensino Superior Completo","Casado (a)",NA,"Licenciatura em Cências","Professor (a)",NA,NA,"5","Católica",NA,"Não","Não",NA,NA,"Para aquisição de conhecimento na área",NA,"Adequado 

 ","Pouco flexível","Importante 

 ","Organizado","Sempre","Sim, considero","Sim","2","4","3","2","2","2","2","2","4","3","2","2","2","4","2","2","3","2","4","2","2","3","2","2","3","3","2","4","4","2","4","4","4","3","3","2","2","2"
"16","","","Finalizadas","4 junho 2014  17:52","8 junho 2014  17:04","3 dias 23 horas","Sim","48","Feminino","Pós-graduação","Solteiro (a)",NA,"Letras-Português-Literatura","Professor (a)",NA,"Regente","25 anos","Sem religião",NA,"Sim","Sim","Família",NA,"Para aquisição de conhecimento na área",NA,"Adequado 

 ","Flexível","Importante 

 ","Organizado","Sempre","Sim, considero","Não","1","4","2","1","1","1","1","1","1","2","2","1","5","5","2","1","4","4","5","4","2","2","1","1","1","1","1","5","5","2","5","2","5","4","4","1","1","1"
"17","","","Finalizadas","4 junho 2014  17:54","4 junho 2014  18:00","5 minutos 7 segundos","Sim","33","Feminino","Pós-graduação","Casado (a)",".","Pedagogia com Pós Graduação em Informática na Educação","Professor (a)",".","Professor do Laboratório de Informática","9","Católica",".","Não","Não",NA,".","Identificação profissional com o tema.",".","Adequado 

 ","Pouquíssimo flexível","Muito importante","Organizado","Sempre","Sim, considero, porém, poderia estar me esforçando mais. 

Sim, considero, porém, poderia estar me esforçando mais 

 ","Não","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"18","","","Finalizadas","4 junho 2014  17:55","4 junho 2014  18:01","6 minutos 54 segundos","Sim","32","Feminino","Pós-graduação","Outros","casada no religioso","Pós graduada","Professor (a)",NA,NA,"09","Católica",NA,"Não","Não",NA,NA,"Para aquisição de conhecimento na área",NA,"Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim, considero","Não","2","3","3","2","2","2","2","2","2","2","1","1","1","5","2","1","3","3","3","2","1","3","2","3","2","2","2","4","4","2","3","3","4","4","2","2","1","2"
"19","","","Finalizadas","4 junho 2014  17:55","4 junho 2014  18:07","11 minutos 29 segundos","Sim","48","Feminino","Pós-graduação","Divorciado (a)",NA,"Licenciaturas em Ciências Agrícolas e Ciências Biológicas","Professor (a)",NA,NA,"20","Evangélica",NA,"Sim","Não",NA,NA,"Outros","Atualização de conhecimentos","Adequado 

 ","Flexível","Importante 

 ","Organizado","Às vezes","Sim, considero, porém, poderia estar me esforçando mais. 

Sim, considero, porém, poderia estar me esforçando mais 

 ","Sim","3","2","4","4","4","3","3","3","1","2","2","4","1","3","4","3","3","3","4","3","2","5","3","3","3","3","2","5","3","4","3","3","3","3","3","2","1","3"
"20","","","Finalizadas","4 junho 2014  18:00","4 junho 2014  18:08","8 minutos 45 segundos","Sim","35","Masculino","Pós-graduação","Casado (a)","casado","licenciado em musica","Professor (a)","Militar","Força Aérea Brasileira","12","Evangélica","evangelico","Sim","Sim","Amigos","trabalho","Identificação profissional com o tema.","por ser a distância","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Sim, considero","Sim","2","3","2","2","2","2","2","1","2","2","2","2","3","5","3","2","3","3","4","3","2","4","2","3","3","2","2","4","4","3","3","4","4","4","2","1","2","2"
"21","","","Finalizadas","4 junho 2014  18:07","5 junho 2014  14:19","20 horas 11 minutos","Sim","42","Feminino","Pós-graduação","Casado (a)",NA,"Pós-graduação em Estudos literários","Professor (a)","Coordenadora de uma escola municipal","Professora de Língua Portuguesa e inglês e coordenadora do município","18","Católica",NA,"Sim",NA,"Família","escola e comunidade","Por ser uma oportunidade de formação continuada. 

 ","Para aquisição de conhecimento na área","Adequado 

 ","Flexível","Importante 

 ","Organizado","Sempre","Sim, considero","Não","2","2","2","1","3","3","3","2","3","2","4","2","4","4","3","2","2","2","4","2","2","2","2","2","2","2","2","4","4","2","3","4","4","4","2","2","2","2"
"22","","","Finalizadas","4 junho 2014  18:08","5 junho 2014  18:45","1 dia","Sim","47 anos","Feminino","Pós-graduação","Casado (a)",NA,"Pedagogia e Psicopedagogia","Professor (a)",NA,"Professora","15 anos","Católica",NA,"Não","Não",NA,NA,"Para aquisição de conhecimento na área",NA,"Adequado 

 ","Flexível","Muito importante","Organizado","Sempre","Sim, considero","Não","2","4","4","2","3","2","2","2","2","3","2","2","3","4","2","1","2","3","3","4","2","4","2","3","3","2","1","4","4","3","3","3","4","4","4","1","1","3"
"23","","","Em progresso","4 junho 2014  18:08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","","","Finalizadas","4 junho 2014  18:10","4 junho 2014  18:22","12 minutos 15 segundos","Sim","47","Feminino","Pós-graduação","Casado (a)",NA,"Mestranda em Educação - FUNIBER","Professor (a)",NA,"Professora de Apoio","4","Espírita",NA,"Não","Não",NA,NA,"Para aquisição de conhecimento na área",NA,"Adequado 

 ","Flexível","Importante 

 ","Organizado","Às vezes","Sim, considero, porém, poderia estar me esforçando mais. 

Sim, considero, porém, poderia estar me esforçando mais 

 ","Sim","2","2","2","2","2","2","2","2","2","2","2","2","4","4","3","2","2","2","4","2","1","2","2","2","2","2","2","5","4","2","3","4","4","4","2","2","2","2"
"25","","","Finalizadas","4 junho 2014  18:11","4 junho 2014  18:22","11 minutos 15 segundos","Sim","30","Feminino","Pós-graduação","Casado (a)","não","Licenciatura plena em Letras","Professor (a)","não","professor de educação básica","15","Católica","não","Sim","Sim","Escola","não","Por ser uma oportunidade de formação continuada. 

 ","não","Adequado 

 ","Flexível","Muito importante","Organizado","Sempre","Sim, considero","Não","2","4","4","1","1","2","2","1","2","2","1","1","1","4","1","1","4","1","1","1","1","1","1","1","1","1","1","5","4","2","4","4","4","4","1","1","1","1"
"26","","","Em progresso","4 junho 2014  18:11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","","","Finalizadas","4 junho 2014  18:15","5 junho 2014  20:13","1 dia 1 hora","Sim","61","Feminino","Pós-graduação","Divorciado (a)",NA,NA,"Orientador (a)",NA,"Orientadora Educacional","8","Católica",NA,"Sim","Não",NA,NA,"Para aquisição de conhecimento na área",NA,"Muito adequado","Flexível","Importante 

 ","Muito organizado","Sempre","Sim, considero","Sim","4","3","2","2","3","2","4","2","2","3","2","2","4","4","2","1","3","2","4","3","1","4","2","2","3","2","1","5","4","3","4","2","4","2","4","2","2","3"
"28","","","Em progresso","4 junho 2014  18:19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","","","Em progresso","4 junho 2014  18:19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","","","Finalizadas","4 junho 2014  18:21","4 junho 2014  18:35","14 minutos 13 segundos","Sim","34","Masculino","Pós-graduação","Casado (a)",NA,"Geografia","Professor (a)",NA,"Escola","7","Católica",NA,"Não","Sim","Escola",NA,"Para aquisição de conhecimento na área",NA,"Adequado 

 ","Pouco flexível","Muito importante","Organizado","Sempre","Não, não considero","Sim","3","5","3","3","4","3","4","4","2","3","2","2","4","5","3","2","4","3","5","4","4","4","2","2","4","2","1","5","3",NA,"4","4","4","4","3","2","1","2"
"31","","","Finalizadas","4 junho 2014  18:21","9 junho 2014  22:26","5 dias 4 horas","Sim","35","Feminino","Ensino Superior Completo","Casado (a)",NA,"Licenciatura e Bacharelado em História","Professor (a)",NA,"professora","12 anos","Católica",NA,"Não","Não",NA,NA,"Para aquisição de conhecimento na área",NA,"Muito adequado","Flexível","Muito importante","Muito organizado","Às vezes","Sim, considero, porém, poderia estar me esforçando mais. 

Sim, considero, porém, poderia estar me esforçando mais 

 ","Não","2","4","2","1","2","2","2","2","2","2","1","1","1","5","2","1","4","2","4","2","1","4","1","1","1","1","1","5","5","1","4","3","2","3","2","2","2","1"
"32","","","Finalizadas","4 junho 2014  18:23","5 junho 2014  18:01","23 horas 37 minutos","Sim","30","Feminino","Pós-graduação","Solteiro (a)","solteira","licenciatura e bacharelado em quimica industrial","Professor (a)","nao possuo","escola estadual americo de paiva","8","Católica","catolica","Sim","Sim","Escola","comunidade","Por ser uma oportunidade de formação continuada. 

 ","formação","Muito adequado","Flexível","Importante 

 ","Organizado","Sempre","Sim, considero, porém, poderia estar me esforçando mais. 

Sim, considero, porém, poderia estar me esforçando mais 

 ","Não","3","4","4","4","4","4","4","3","2","4","2","2","4","4","4","1","2","3","5","2","2","4","2","2","2","2","2","4","4","3","4","3","4","4","3","2","2","2"
"33","","","Em progresso","4 junho 2014  18:24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","","","Finalizadas","4 junho 2014  18:25","4 junho 2014  18:58","33 minutos 2 segundos","Sim","32","Feminino","Ensino Superior Completo","Solteiro (a)",NA,"LICENCIATURA EM CIÊNCIAS BIOLÓGICAS","Professor (a)",NA,NA,"08","Católica",NA,"Sim","Não",NA,NA,"Identificação profissional com o tema.",NA,"Adequado 

 ","Pouco flexível","Importante 

 ","Organizado","Sempre","Sim, considero","Não","1","1","1","1","1","1","1","1","2","4","1","1","2","5","2","1","2","1","5","1","1","1","1","1","2","1","1","3","5","2","4","5","5","5","2","1","1","1"
"35","","","Finalizadas","4 junho 2014  18:30","4 junho 2014  18:48","17 minutos 40 segundos","Sim","39","Feminino","Pós-graduação","Casado (a)","NÃO","LICENCIATURA EM QUÍMICA E PÓS GRADUADA EM QUÍMICA","Professor (a)","NÃO","ESCOLA PÚBLICA","17","Católica","NÃO","Sim","Sim","Escola","NÃO","Identificação profissional com o tema.","NÃO","Adequado 

 ","Flexível","Importante 

 ","Organizado","Sempre","Sim, considero","Não","2","4","2","1","3","2","3","2","2","3","2","2","4","4","2","1","3","3","4","4","1","3","1","1","2","2","2","3","4","2","4","3","3","3","3","2","1","2"
"36","","","Finalizadas","4 junho 2014  18:31","6 junho 2014  23:00","2 dias 4 horas","Sim","41","Feminino","Pós-graduação","Divorciado (a)",NA,"Pedagogia Especialista em Alfabetização e Letramento","Professor (a)",NA,"Professor de Educação Básica","8","Católica",NA,"Sim","Não",NA,NA,"Identificação profissional com o tema.",NA,"Adequado 

 ","Pouco flexível","Importante 

 ","Organizado","Às vezes","Sim, considero","Sim","2","3","4","3","3","4","3","3","3","3","3","3","3","4","2","2","4","2","4","4","2","3","2","3","4","3","2","4","4","3","4","3","2","3","3","3","2","3"
"37","","","Finalizadas","4 junho 2014  18:35","7 junho 2014  16:20","2 dias 21 horas","Sim","42","Feminino","Pós-graduação","Solteiro (a)","não","Letras Licenciatura Português 2001 e Letras Licenciatura Espanhol 2004","Professor (a)","Dona de casa e mãe","professora de português","13","Católica","não tenho","Sim","Sim","Escola","não","Para aquisição de conhecimento na área","a relevância dele para a minha formação","Adequado 

 ","Flexível","Importante 

 ","Organizado","Às vezes","Sim, considero","Não","2","2","3","2","4","2","3","3","1","4","2","2","4","4","4","2","4","2","2","2","2","2","2","2","3","2","1","4","4","2","4","4","4","3","3","2","2","2"
"38","","","Finalizadas","4 junho 2014  18:37","4 junho 2014  18:53","15 minutos 30 segundos","Sim","quarenta e dois","Feminino","Pós-graduação","Casado (a)",NA,"letras ingles","Professor (a)","diretor","administrativo","15","Católica",NA,"Sim","Sim","Escola","comunidade","Para aquisição de conhecimento na área","importancia do tema","Adequado 

 ","Pouquíssimo flexível","Importante 

 ","Organizado","Sempre","Sim, considero, porém, poderia estar me esforçando mais. 

Sim, considero, porém, poderia estar me esforçando mais 

 ","Sim","2","5","4","1","1","1","1","1","1","2","1","1","1","5","1","1","1","2","4","4","3","2","1","2","4","1","1","5","5","3","5","4","5","4","4","1","1","5"
"39","","","Finalizadas","4 junho 2014  18:38","4 junho 2014  18:59","21 minutos 37 segundos","Sim","45","Feminino","Pós-graduação","Casado (a)",NA,NA,"Professor (a)",NA,NA,"24","Católica",NA,"Sim","Não",NA,NA,"Por ser uma oportunidade de formação continuada. 

 ",NA,"Adequado 

 ","Flexível","Importante 

 ","Organizado","Sempre","Sim, considero","Não","2","3","3","2","2","2","2","2","2","2","2","2","2","4","2","2","4","2","4","3","4","2","2","2","2","2","2","4","4","2","3","3","2","3","4","2","2","2"
"40","","","Finalizadas","4 junho 2014  18:38","4 junho 2014  19:12","33 minutos 46 segundos","Sim","58","Feminino","Pós-graduação","Casado (a)","nenhum","Graduação: Filosofia, Sociologia, História, Pós- Graduada em Filosofia Clínica","Professor (a)","Não há","Pofessora de História e Fundamentos e Gestão","40","Católica","Não há","Sim","Não","Família","nenhum","Identificação profissional com o tema.","não há","Muito adequado","Muito flexível","Importante 

 ","Muito organizado","Sempre","Sim, considero, porém, poderia estar me esforçando mais. 

Sim, considero, porém, poderia estar me esforçando mais 

 ","Não","4","4","3","1","4","4","4","4","1","3","2","2","2","5","2","2","4","4","4","4","5","5","2","3","2","2","2","5","5","3","4","4","5","4","2","1","1","2"
"41","","","Finalizadas","4 junho 2014  18:40","4 junho 2014  18:56","16 minutos 6 segundos","Sim","37","Feminino","Pós-graduação","Casado (a)",NA,"pedagogia","Supervisor (a)",NA,"Especialista da Educação Básica","15","Católica",NA,"Sim","Sim","Amigos",NA,"Para aquisição de conhecimento na área",NA,"Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim, considero","Sim","2","4","3","2","4","2","2","2","2","4","1","2","1","5","2","2","4","2","5","4","1","2","2","1","2","1","1","4","5","2","4","4","4","4","3","1","2","2"
"42","","","Em progresso","4 junho 2014  18:41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","","","Finalizadas","4 junho 2014  18:43","4 junho 2014  18:54","10 minutos 45 segundos","Não","45","Feminino","Ensino Superior Completo","Casado (a)",NA,"Em licenciatura plena em Filosofia","Professor (a)",NA,"Professor","15","Evangélica",NA,"Sim","Não",NA,NA,"Para aquisição de conhecimento na área",NA,"Muito adequado","Pouco flexível","Importante 

 ","Organizado","Sempre","Sim, considero, porém, poderia estar me esforçando mais. 

Sim, considero, porém, poderia estar me esforçando mais 

 ","Sim","1","4","3","1","2","2","2",NA,"1","4","2","2","4","5","2","2","3","3","4","4","5","3","2","3","4","2","2","5","4","4","4","5","5","3","3","1","1","1"
"44","","","Finalizadas","4 junho 2014  18:54","7 junho 2014  11:59","2 dias 17 horas","Sim","42","Feminino","Pós-graduação","Casado (a)",NA,"pedagoga","Supervisor (a)",NA,"público","6 meses","Espírita",NA,"Não","Não",NA,NA,"Por ser uma oportunidade de formação continuada. 

 ",NA,"Adequado 

 ","Pouquíssimo flexível","Importante 

 ","Organizado","Sempre","Sim, considero","Não","1","1","1","5","5","5","5","2","1","1","1","5","5","5","1","1","3","2","5","2","1","1","1","3","2","2","1","1","5","4","4","4","4","4","2","2","1","2"
"45","","","Finalizadas","4 junho 2014  18:56","4 junho 2014  19:18","22 minutos 27 segundos","Sim","29","Feminino","Ensino Superior Completo","União Estável","União Estável","Pedagogia","Outros","APE","APE","5","Outras","DEUS","Sim","Sim","Comunidade","dia a dia com a acomunidade","Por ser uma oportunidade de formação continuada. 

 ","pela vontade de melhorar meus conhecimentos","Muito adequado","Flexível","Muito importante","Organizado","Sempre","Sim, considero","Sim","1","2","4","2","3","2","2","2","1","4","2","2","1","5","2","1","2","1","5","4","1","3","2","1","4","2","1","5","4","4","4","4","4","3","3","1","1","2"
"46","","","Finalizadas","4 junho 2014  18:58","4 junho 2014  19:12","13 minutos 39 segundos","Sim","45","Feminino","Pós-graduação","Casado (a)","CASADA","PÓS -  GRADUAÇÃO","Professor (a)","PROFESSOR DE INCLUSÃO","PROFESSOR DE APOIO","20","Evangélica","EVANGÉLICA","Sim","Sim","Comunidade","FAMÍLIA","Identificação profissional com o tema.","IDENTIFICAÇÃO COM O TEMA","Muito adequado","Pouco flexível","Muito importante","Muito organizado","Sempre","Sim, considero","Sim","2","4","2","2","4","4","2","2","2","2","2","2","4","4","2","2","4","2","4","4","2","3","2","2","2","2","2","4","4","2","4","4","4","4","2","2","2","2"
