"","estado","iniciado","completo","tempo","termo","idade","sexo","escolaridade","estadocivil","estadocivil.outros","formacao","ocupacao","ocupacao.outra","nomeservico","tempodeservico","religiao","religiao.outra","contatoanterior","lidadiretamente","lida.onde","lida.outros","motivocurso","motivo.outros","materialdidatico","prazoatividades","interacaopares","organizacaocurso","import.ajud.tutor","autoavaliacao","part.outrocurso","pp001","pp002","pp003","pp004","pp005","pp006","pp007","pp008","pp009","pp010","pp011","pp012","pp013","pp014","pp015","pp016","pp017","pp018","pp019","pp020","pp021","pp022","pp023","pp024","pp025","pp026","pp027","pp028","pp029","pp030","pp031","pp032","pp033","pp034","pp035","pp036","pp037"
"11","Finalizadas","4 junho 2014  13:52","4 junho 2014  14:03","11 minutos 2 segundos","Sim","49","Masculino","Pós-graduação","Casado (a)",NA,"Educação Física","Professor (a)",NA,"Professor de Educação Física","24","Católica",NA,"Sim","Não",NA,NA,"Por ser uma oportunidade de formação continuada",NA,"Muito adequado","Flexível","Muito importante","Organizado","Às vezes","Sim, considero","Sim","4","4","4","4","4","5","4","5","4","4","4","3","4","4","3","2","4","3","3","4","2","3","4","4","2","4","2","2","3","4","3","4","3","3","2","3","4"
"12","Finalizadas","4 junho 2014  13:53","4 junho 2014  14:16","22 minutos 10 segundos","Sim","26","Masculino","Ensino Superior Completo","União Estável",NA,"Licenciatura em Educação Física","Professor (a)",NA,"Professor  de Educação Física","9 Meses","Católica",NA,"Não","Não",NA,NA,"Para aquisição de conhecimento na área",NA,"Adequado","Pouco flexível","Importante","Organizado","Sempre","Sim, considero","Sim","2","4","4","4","4","5","4","2","2","4","4","3","4","3","3","2","4","3","3","3","2","4","4","4","2","3","2","1","5","4","3","3","2","2","3","3","4"
"13","Em progresso","4 junho 2014  14:02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Finalizadas","4 junho 2014  14:06","4 junho 2014  14:19","13 minutos 30 segundos","Sim","42 anos","Feminino","Pós-graduação","União Estável",NA,"MATEMÁTICA","Professor (a)",NA,"PROFISSIONAL DA EDUCAÇÃO","21 ANOS","Católica",NA,"Sim","Sim","Escola",NA,"Para aquisição de conhecimento na área",NA,"Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim, considero","Sim","1","5","5","5","4","5","5","1","2","4","4","4","4","4","4","4","4","2","4","4","5","4","4","1","2","4","4","1","4","4","4","4","1","2","2","2","4"
"15","Em progresso","4 junho 2014  14:11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Finalizadas","4 junho 2014  14:15","4 junho 2014  14:33","17 minutos 59 segundos","Sim","34","Feminino","Pós-graduação","União Estável",NA,"Curso Normal, Graduação em Letras e Pós Graduação em Psicopedagogia.","Professor (a)",NA,NA,"10 anos","Católica",NA,"Sim","Sim","Amigos",NA,"Por ser uma oportunidade de formação continuada",NA,"Adequado","Flexível","Importante","Muito organizado","Às vezes","Não, não considero","Não","2","5","5","5","3","5","5","2","2","3","4","4","4","2","5","4","4","2","4","4","4","4","5","1","1","2","4","1","5","5","5","4","1","1","3","2","5"
"17","Finalizadas","4 junho 2014  14:21","4 junho 2014  14:34","13 minutos 26 segundos","Sim","56","Masculino","Pós-graduação","Casado (a)",NA,"Licenciado em Química, Matemática e Ciências","Professor (a)",NA,"Secretaria de Estado da Educação - Diretoria de Políticas e Tecnologias Educacionais","27","Católica",NA,"Sim","Não",NA,NA,"Para aquisição de conhecimento na área",NA,"Muito adequado","Flexível","Muito importante","Organizado","Às vezes","Sim, considero, porém, poderia estar me esforçando mais","Sim","3","5",NA,"5","3","5","5","1","3","3","3","2","5","3","3","1","5","2","4","3","2","2","4","1","1","4","2","1","2","3","3","3","2","2","2","2","5"
"18","Finalizadas","4 junho 2014  14:26","4 junho 2014  14:34","8 minutos 5 segundos","Sim","42","Masculino","Pós-graduação","União Estável",NA,"Geograia e Estudos Sociais","Diretor (a)",NA,NA,"1","Católica",NA,"Sim","Não",NA,NA,"Por ser uma oportunidade de formação continuada",NA,"Muito adequado","Flexível","Importante","Muito organizado","Às vezes","Sim, considero, porém, poderia estar me esforçando mais","Não","2","4","4","5","4","5","5","1","4","4","4","4","4","3","4","4","5","2","4","4","4","4","4","4","2","2","4","4","4","3","3","4","2","2","2","2","5"
"19","Finalizadas","4 junho 2014  14:30","4 junho 2014  14:48","17 minutos 59 segundos","Sim","30 anos","Feminino","Ensino Superior Completo","Casado (a)",NA,"Psicologa","Estudante",NA,NA,"3 anos de formada","Espírita",NA,"Sim","Sim","Família",NA,"Para aquisição de conhecimento na área",NA,"Adequado","Pouquíssimo flexível","Muito importante","Muito desorganizado","Sempre","Sim, considero","Sim","1","5","5","5","4","5","5","1","1","5","1","5","5","4","5","4","5","1","4","5","4","5","5","1","3","5","4","1","4","5","4","4","1","1","1","1","5"
"20","Finalizadas","4 junho 2014  14:30","4 junho 2014  14:47","17 minutos 1 segundo","Sim","34","Feminino","Pós-graduação","Casado (a)",NA,NA,"Supervisor (a)",NA,NA,"2","Católica",NA,"Sim","Sim","Família",NA,"Para aquisição de conhecimento na área",NA,"Adequado","Flexível","Importante","Desorganizado","Às vezes","Sim, considero, porém, poderia estar me esforçando mais","Sim","2","5","5","4","4","4","4","4","2","4","5","4","4","4","4","4","4","2","4","4","4","4","4","2","2","2","2","2","4","4","4","4","2","2","2","2","4"
"21","Finalizadas","4 junho 2014  14:30","4 junho 2014  14:47","17 minutos","Sim","28/09/1976","Feminino","Pós-graduação","Solteiro (a)",NA,"pós graduação","Professor (a)",NA,NA,NA,"Evangélica",NA,"Não","Não",NA,NA,"Por ser uma oportunidade de formação continuada",NA,"Muito adequado","Pouco flexível","Importante","Organizado","Às vezes","Sim, considero, porém, poderia estar me esforçando mais","Não","4","4","3","4","2","4","4","4","2","4","4","3","4","4","4","3","4","3","3","4","3","2","4","3","2","3","3","2","3","4","4","3","3","2","2","2","4"
"22","Finalizadas","4 junho 2014  14:34","4 junho 2014  14:45","10 minutos 51 segundos","Sim","40","Feminino","Ensino Médio Completo","Outros","Separada","Especialização","Professor (a)","Tutora de curso de pedagogia a distância","Professora regente de português e inglês","16","Católica","não há outra religião","Sim","Sim","Escola","Família","Identificação profissional com o tema","Identificação pessoal com o tema","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Sim, considero","Sim","1","5","5","5","4","5","5","1","4","4","2","5","5","4","2","4","5","1","5","5","5","4","4","1","1","3","5","1","5","5","5","4","1","1","1","1","5"
"23","Finalizadas","4 junho 2014  14:35","4 junho 2014  14:51","16 minutos 47 segundos","Sim","47","Feminino","Pós-graduação","Divorciado (a)",NA,"Letras- Licenciatura Plena e pós em Leitura e Literatura","Professor (a)",NA,"SEE / MG","15","Católica",NA,"Sim","Sim","Escola",NA,"Para aquisição de conhecimento na área",NA,"Adequado","Pouco flexível","Pouco importante","Organizado","Às vezes","Não, não considero","Não","5","4","4","4","4","4","4","3","2","4","4","3","2","2","4","2","3","2","4","3","2","4","4","4","2","2","3","2","3","4","3","2","2","2","2","3","4"
"24","Finalizadas","4 junho 2014  14:35","4 junho 2014  14:54","18 minutos 40 segundos","Sim","24","Feminino","Ensino Superior Incompleto","Casado (a)",NA,"Pedagogia","Estudante",NA,"auxiliar adm. na area da educação","2","Evangélica",NA,"Não","Não",NA,NA,"Por ser um curso à distância",NA,"Muito adequado","Pouco flexível","Importante","Organizado","Sempre","Sim, considero","Não","2","4","5","5","5","5","5","1","2","4","5","4","4","3","1","4","5","2","4","4","4","5","5","1","2","2","4","2","4","5","4","5","2","2","2","2","4"
"25","Finalizadas","4 junho 2014  14:36","4 junho 2014  14:49","12 minutos 39 segundos","Sim","49","Feminino","Ensino Superior Incompleto","Divorciado (a)",NA,"Tecnologo em Secretariado Executivo","Outros","Agente Educacional","Técnico Administrativo","28","Católica",NA,"Sim","Sim","Escola",NA,"Identificação profissional com o tema",NA,"Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Sim, considero","Sim","3","4","4","4","4","5","5","2","4","4","3","4","5","3","2","4","4","3","3","3","3","3","3","3","3","3","3","2","3","3","3","3","2","2","3","3","5"
"26","Finalizadas","4 junho 2014  14:40","4 junho 2014  14:49","9 minutos 1 segundo","Não","29","Feminino","Pós-graduação","Casado (a)",NA,"Letras","Professor (a)",NA,NA,"6","Sem religião",NA,"Sim","Sim","Comunidade",NA,"Identificação profissional com o tema",NA,"Adequado","Flexível","Muito importante","Organizado","Sempre","Sim, considero","Sim","2","4","5","5","5","4","4","3","2","4","4","2","4","4","2","2","4","2","4","4","4","2","4","4","2","2","2","4","2","4","4","4",NA,"2","4","2","4"
"27","Finalizadas","4 junho 2014  14:40","6 junho 2014  08:24","1 dia 17 horas","Sim","29","Feminino","Pós-graduação","Casado (a)",NA,"LETRAS - PORTUGUêS E INGLêS E PÓS GRADUAÇÃO EM LINGUÍSTICA APLICADA À LÍNGUA MATERNA","Professor (a)",NA,"PROFESSOR DOCENTE I","4 ANOS","Católica",NA,"Sim","Sim","Escola",NA,"Para aquisição de conhecimento na área",NA,"Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim, considero","Não","2","5","4","5","4","5","5","1","3","4","4","3","5","3","4","1","5","2","2","4","3","2","5","1","1","2","2","1","2","4","3","5","1","1","5","5","5"
"28","Finalizadas","4 junho 2014  14:50","4 junho 2014  15:20","29 minutos 58 segundos","Sim","42","Feminino","Pós-graduação","Casado (a)",NA,NA,"Professor (a)",NA,NA,"11anos","Católica",NA,"Sim","Sim","Amigos",NA,"Identificação profissional com o tema",NA,"Adequado","Flexível","Importante","Organizado","Sempre","Sim, considero, porém, poderia estar me esforçando mais","Sim","2","4","4","4","4","4","4","2","2","2",NA,"3","4","2","3","4","4","2",NA,"3","2","4","4","2","2","3","2","4","3","4","4","4","4","2","2","2","4"
"29","Em progresso","4 junho 2014  14:54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Finalizadas","4 junho 2014  14:57","4 junho 2014  15:11","13 minutos 28 segundos","Sim","33","Feminino","Ensino Superior Completo","Casado (a)","não possui","superior completo","Professor (a)","doméstica",NA,"4 anos","Católica","não há","Sim","Não",NA,NA,"Para aquisição de conhecimento na área","me indicaram","Pouco adequado","Pouco flexível","Muito importante","Organizado","Sempre","Não, não considero","Não","4","3","4","4","3","4","4","1","1","4","4","2","4","2","2","4","4","4","4","4","4","4","4","2","4","2","3","2","4","3","4","4","2","3","2","2","4"
"31","Finalizadas","4 junho 2014  14:59","4 junho 2014  15:23","24 minutos 30 segundos",NA,"36","Masculino","Pós-graduação","Casado (a)",NA,"Enfermagem e ciências biologica","Professor (a)",NA,"Flavio","4","Católica",NA,"Sim","Sim","Serviços de atuação",NA,"Por ser uma oportunidade de formação continuada",NA,"Adequado","Flexível","Importante","Organizado","Às vezes","Sim, considero, porém, poderia estar me esforçando mais","Sim","4","4","4","5","2","5","5","3","2","4","3","4","3","2","3","3","4","3","4","3","4","3","4","2","3","3","4","1","3","4","4","4","1","1","1","1","4"
"32","Finalizadas","4 junho 2014  15:04","4 junho 2014  15:17","13 minutos 3 segundos","Não","41","Feminino","Ensino Superior Completo","Casado (a)",NA,"Licenciatura Plena em Pedagogia","Professor (a)",NA,NA,"2 anos","Evangélica",NA,"Sim","Não",NA,NA,"Para aquisição de conhecimento na área",NA,"Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim, considero, porém, poderia estar me esforçando mais","Não","2","4","4","4","3","3","4","3","3","4","2","4","4","3","2","4","3","3","4","4","4","4","4","2","2","3","4","2","4","3","3","3","2","3","2","2","4"
"33","Finalizadas","4 junho 2014  15:04","4 junho 2014  15:27","22 minutos 26 segundos","Sim","24","Masculino","Ensino Superior Completo","Casado (a)","Casado","Ensino Superior Completo","Professor (a)","nao tenho","Professor","3 anos","Católica","Católica","Não","Sim","Comunidade","Serviços de atuação","Por ser uma oportunidade de formação continuada",". Pelo fato de o curso ser gratuito","Muito adequado","Muito flexível","Muito importante","Organizado","Sempre","Sim, considero","Não","1","4","4","4","4","4","4","4","3","5","5","4","4","5","5","5","4","2","5","4","4","3","3","3","1","5","4","2","4","4","5","5","1","1","1","1","5"
"34","Finalizadas","4 junho 2014  15:10","5 junho 2014  18:08","1 dia 2 horas","Sim","49","Feminino","Pós-graduação","Casado (a)",NA,"História","Professor (a)","Dona de casa","professora","16 anos","Católica",NA,"Sim","Sim","Família",NA,"Por ser uma oportunidade de formação continuada",NA,"Muito adequado","Flexível","Importante","Organizado","Sempre","Sim, considero, porém, poderia estar me esforçando mais","Não","2","4","4","4","4","4","4","2","3","5","4","4","4","4","3","4","4","2","4","4","4","4","4","2","2","4","4","2","4","4","4","4","2","2","2","2","4"
"35","Finalizadas","4 junho 2014  15:12","4 junho 2014  15:36","23 minutos 21 segundos","Sim","68","Feminino","Pós-graduação","Casado (a)","casada","Pedagogia - Psicopedagogia","Coordenador (a) Pedagógico","Coordenador de turno","Coordenação de turno","40","Católica","católica","Não","Não","Outros","Pais de alunos","Para aquisição de conhecimento na área","Identificação pessoal com o tema","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim, considero","Não","1","5","5","5","5","4","5","1","2","4","4","3","4","3","4","4","4","2","4","4","4","4","4","1","2","2","3","2","4","4","3","3","2","2","2","2","5"
"36","Finalizadas","4 junho 2014  15:16","4 junho 2014  15:44","28 minutos 21 segundos","Sim","49","Feminino","Pós-graduação","Solteiro (a)",NA,"Professora","Professor (a)",NA,NA,"25 anos","Católica",NA,"Sim","Não",NA,NA,"Para aquisição de conhecimento na área",NA,"Adequado","Pouco flexível","Muito importante","Organizado","Sempre","Sim, considero","Sim","2","4","4","4","4","5","4","1","2","4","4","4","4","2","4","4","4","2","4","4","4","2","4","1","1","2","4","1","4","4","4","5","2","2","2","2","4"
"37","Em progresso","4 junho 2014  15:16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Finalizadas","4 junho 2014  15:17","4 junho 2014  15:38","21 minutos 10 segundos","Sim","48","Feminino","Pós-graduação","União Estável",NA,"Professora","Professor (a)",NA,"Professora de Educação Básica","17","Católica",NA,"Sim","Não",NA,NA,"Por ser uma oportunidade de formação continuada","Como trabalho com jovens, então o melhor é ter um conhecimento mais amplo a respeito do tema.","Muito adequado","Flexível","Importante","Organizado","Sempre","Sim, considero","Não","2","4","4","4","4","4","4","2","2","4","4","4","4","3","2","4","4","2","4","4","4","4","4","2","2","3","4","2","4","4","4","4","2","2","2","2","4"
"39","Finalizadas","4 junho 2014  15:17","4 junho 2014  15:52","34 minutos 55 segundos","Sim","52","Feminino","Ensino Superior Completo","Casado (a)","Não tenho","Letras e Pedagogia","Professor (a)","Em processo de aposentadoria","Professora  do Ensino Fundamental dos anos iniciais","27 anos","Católica","não","Não","Sim","Amigos","não, só amigos","Por ser uma oportunidade de formação continuada","por ser  uma formação continuada","Adequado","Flexível","Importante","Organizado","Às vezes","Sim, considero","Não","3","4","5","4","4","4","4","2","3","4","4","4","4","3","3","3","4","2","4","5","4","4","4","2","2","2","4","2","4","5","4","3","2","2","3","2","3"
"40","Finalizadas","4 junho 2014  15:20","4 junho 2014  18:40","3 horas 20 minutos","Sim","35","Feminino","Pós-graduação","União Estável",NA,"Educação Física","Professor (a)",NA,"Prefeitura Municipal Duque de Caxias","4","Católica",NA,"Não","Sim","Escola",NA,"Para aquisição de conhecimento na área",NA,"Adequado","Flexível","Importante","Muito organizado","Sempre","Sim, considero","Sim","1","5","4","5","4","4","4","2","3","4","3","3","4","3","3","3","4","2","4","4","3","3","4","2","2","3","3","2","4","4","4","4","2","2","2","2","2"
"41","Finalizadas","4 junho 2014  15:23","4 junho 2014  15:33","10 minutos 20 segundos","Sim","43","Feminino","Pós-graduação","Solteiro (a)",NA,"biologia e quimica","Professor (a)","estudante","funcionario publico estadual","10","Sem religião",NA,"Sim","Sim","Amigos",NA,"Para aquisição de conhecimento na área","por ser um tema interessante","Muito adequado","Flexível","Importante","Muito organizado","Sempre","Sim, considero, porém, poderia estar me esforçando mais","Sim","1","5","4","5","4","5","5","2","2","5","4","4","4","3","4","3",NA,"2","4","4","4","3","4","2","2","4","4","2","4","4","4","4","2","2","2","2","4"
"42","Finalizadas","4 junho 2014  15:25","4 junho 2014  15:59","34 minutos 39 segundos","Sim","52","Feminino","Ensino Superior Completo","Casado (a)","casada","Pedagogia","Professor (a)","Educadora ( Professora)","Infantil I atuo como Educadora","5 anos","Outras","Cristã.","Sim","Não","Outros","parente distante","Para aquisição de conhecimento na área","Por ser um tema relacionado a atualidade.","Muito adequado","Flexível","Importante","Organizado","Sempre","Sim, considero, porém, poderia estar me esforçando mais","Sim","1","4","4","5","4","5","3","2","4","4","4","3","4","2","2","2","4","2","2","2","2","4","4","2","2","3","2","2","2","4","3","4","4","2","4","2","4"
"43","Finalizadas","4 junho 2014  15:28","4 junho 2014  16:08","40 minutos 14 segundos","Sim","45","Masculino","Pós-graduação","Casado (a)",NA,"Professor de Educação Física e Fisioterapeuta","Professor (a)",NA,"Secretaria de Estado da Educação","17","Católica",NA,"Sim","Sim","Comunidade",NA,"Para aquisição de conhecimento na área",NA,"Muito adequado","Pouco flexível","Importante","Muito organizado","Às vezes","Sim, considero, porém, poderia estar me esforçando mais","Sim","4","4","5","5","5","5","5","2","4","4","4","3","4","2","2","4","5","2","4","4","4","4","5","2","1","4","4","1","4","4","4","4","2","4","2","1","4"
"44","Finalizadas","4 junho 2014  15:28","4 junho 2014  15:39","10 minutos 59 segundos","Sim","37","Feminino","Pós-graduação","Casado (a)","já respondi, casada","Letras e Serviço Social ( em curso)","Orientador (a)","voluntariado no IBC","Voluntária no IBC","20","Sem religião","já respondida","Sim","Sim","Escola","comunidade","Identificação profissional com o tema","identificação pessoal com o tema tb","Muito adequado","Pouco flexível","Importante","Organizado","Às vezes","Sim, considero","Sim","1","5","5","5","4","5","5","1","2","4","4","4","4","2","2","4","4","2","4","3","4","4","4","1","2","2","4","1","4","2","3","4","2","1","3","2","4"
"45","Finalizadas","4 junho 2014  15:28","4 junho 2014  15:44","16 minutos 6 segundos","Sim","50","Feminino","Pós-graduação","Casado (a)",NA,"PEDAGOGA","Professor (a)",NA,"E.M Domingos Gonçalves de Lima","23 anos","Evangélica",NA,"Não","Não",NA,NA,"Identificação profissional com o tema",NA,"Muito adequado","Pouco flexível","Importante","Muito organizado","Sempre","Sim, considero","Não","2","4","4","4","3","4","4","3","4","4","4","2","4","3","4","2","4","4","4","4","3","3","4","2","3","3","2","2","4","3","3","2","2","2","2","3","4"
"46","Finalizadas","4 junho 2014  15:29","4 junho 2014  15:42","12 minutos 53 segundos","Sim","28","Masculino","Pós-graduação","Casado (a)",NA,"Especialista em Língua Espanhola","Professor (a)",NA,NA,"01","Evangélica",NA,"Não","Sim","Amigos",NA,"Por ser uma oportunidade de formação continuada",NA,"Adequado","Flexível","Muito importante","Desorganizado","Às vezes","Sim, considero, porém, poderia estar me esforçando mais","Não","3","4","3","5","4","5","5","4","4","4","4","2","4","4","4","4","4","4","3","4","3","3","4","3","1","3","2","1","5","4","4","4","2","2","3","2","5"
"47","Finalizadas","4 junho 2014  15:31","4 junho 2014  15:45","13 minutos 17 segundos","Sim","27","Feminino","Ensino Superior Incompleto","Divorciado (a)",NA,"Química","Professor (a)",NA,"Escola Estadual João Caldeira","3","Evangélica",NA,"Não","Não",NA,NA,"Para aquisição de conhecimento na área",NA,"Muito adequado","Pouco flexível","Importante","Organizado","Sempre","Sim, considero","Sim","3","4","4","5","4","5","5","3","5","4","4","4","5","4","5","4","5","4","5","5","4","4","4","3","4","5","3","1","4","5","5","4","2","2","4","4","5"
"48","Finalizadas","4 junho 2014  15:34","4 junho 2014  15:51","17 minutos","Sim","37","Feminino","Ensino Superior Completo","Casado (a)",NA,"Letras","Professor (a)",NA,NA,"4","Sem religião",NA,"Não","Não",NA,NA,"Para aquisição de conhecimento na área",NA,"Adequado","Flexível","Importante","Organizado","Sempre","Sim, considero","Não","4","5","4","5","4","5","4","2","2","4","3","4","4","2","2","4","4","2","4","4","4","4","4","2","2","2","4","2","4","4","4","4","2","2","2","2","4"
